epsilon,true_edges,est_edges,edge_rel_error,true_triangles,est_triangles,tri_rel_error
0.1,23806,23972.29087104251,0.00698525040084478,351103.0,340689.49539973657,0.02965940080336378
0.5,23806,23792.246994693145,0.000577711724223091,351103.0,344962.9188964229,0.017487976757752294
1.0,23806,23803.78772742075,9.292920185039763e-05,351103.0,345125.2743353927,0.01702556134412781
2.0,23806,23806.930410797202,3.908303777207668e-05,351103.0,345335.90044540394,0.01642566299517823
5.0,23806,23799.920271038063,0.0002553864135905562,351103.0,344796.4377582003,0.01796214285209674
